Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS,PrecoBA,PrecoCE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22,,PRAZO,90,-3,-3
"M9043(cad.tranç.16fu.1fio pol.p/espula 2,0mm c/goma PUMA)",,,18/09/2025,,,METRO,,"0,27",,,,,,,,,,,,
6AL (cad.pol. Tear),,,01/09/2022,,,PAR,100cm,"0,94",,"0,91",,,,,,,,,,
6AL (cad.pol. Tear),,,25/09/2023,,(Desconto especial para pedido Mormai),PAR,100cm,"0,88",,,,,,,,,,,,
6AL(cad.tear pol. c/pont.personalizada),,,01/09/2022,,,PAR,100cm,"1,16",,"1,13",,,,,,,,,,
6AL-F(cad.tear pol.),,,01/09/2022,,,PAR,100cm,"0,98",,"0,95",,,,,,,,,,
M10046(cad.pol.tear),,,01/09/2022,,,PAR,100cm,"0,94",,"0,91",,,,,,,,,,
M10114(cad.tear pol. 6mm bicolor Reebok),,,01/06/2023,,,PAR,100cm,"0,84",,"0,82",,,,,,,,,,
M10119 7MM(cad.tear pol. 7mm),,,01/09/2022,,,PAR,100cm,"1,06",,"1,03",,,,,,,,,,
M10119(com ponteira personalizada),,,11/02/2021,,,PAR,100cm,"1,14",,"1,11",,,,,,,,,,
M10120(cad.tear pol. Pontilhado),,,11/02/2021,,,PAR,100cm,"1,07",,"1,04",,,,,,,,,,
M10121(cad.tear,,,11/02/2021,,,PAR,100cm,"1,53",,"1,48",,,,,,,,,,
M10124 5MM (cad.tear pol.5mm c/detalhe),,,01/09/2022,,,PAR,100cm,"0,98",,"0,95",,,,,,,,,,
M10124 8MM (cad.tear pol.8mm c/pont.personalizada),,,01/09/2022,,,PAR,100cm,"1,7",,"1,65",,,,,,,,,,
M10131(cad.tear pol.),,,11/02/2021,,,PAR,100cm,"1,12",,"1,09",,,,,,,,,,
M10134 9MM (cad.tear pol.9mm tub.c/duas almas ench),,,01/09/2022,,,PAR,100cm,"1,36",,"1,32",,,,,,,,,,
M10144 6MM (cad.tear pol.6mm tub.s/enchim.6AL-F),,,04/04/2023,,,PAR,100cm,"0,84",,,,,,,,,,,,
M10145 7MM (cad.tear 54fios reflexx tub.c/ench. 7mm tipo 6AL Asics),,,02/04/2024,,,PAR,100cm,"0,96",,,,,,,,,,,,
M12020 8MM (cad. Tear poliéster 8mm),,,11/02/2021,,,PAR,100cm,"0,88",,"0,85",,,,,,,,,,
M12020(Cad.tear fio pol. c/ponteira person.Oakley),,,24/02/2026,,,PAR,100cm,"1,06",,"1,03",,,,,,,,,,
M12026(cad.tear pol.chato tubular),,,06/04/2022,,,PAR,100cm,"1,15",,"1,12",,,,,,,,,,
M12103 7MM (cad.tear pol. Chata 7mm cores),,,01/09/2022,,,PAR,100cm,"1,14",,"1,11",,,,,,,,,,
M12103 7MM (cad.tear pol.7mm pont.personalizada),,,01/09/2022,,,PAR,100cm,"1,38",,"1,34",,,,,,,,,,
M12109 8MM (cad.tear pol. 8mm),,,03/05/2021,,,PAR,100cm,"0,86",,"0,84",,,,,,,,,,
M12110 8MM (cad.tear pol. 8mm cores),,,27/07/2022,,,PAR,100cm,"1,18",,"1,14",,,,,,,,,,
M12119 10MM (cad.tear Reflexx 10mm cores),,,01/07/20224,,,PAR,100cm,"1,18",,"1,17",,,,,,,,,,
M12133 8MM (fita 8mm tear pol.),,,11/02/2021,,,PAR,100cm,,,"0,93",,,,,,,,,,
M12133 8MM (fita 8mm tear pol. Pont.personalizada),,,11/02/2021,,,PAR,100cm,,,"1,20",,,,,,,,,,
M12154 10MM (cad.tear fio reflexx cores 10mm),,,06/04/2022,,,PAR,100cm,"1,44",,"1,40",,,,,,,,,,
M12154 10MM (cad.tear fio reflexx cores 10mm),,,06/03/2024,,(desconto p/março 2024),PAR,100cm,"1,23",,,,,,,,,,,,
M12156 6MM (cad.tear pol.sarjado bicolor 6mm),,,08/12/2021,,,PAR,100cm,"0,68",,"0,66",,,,,,,,,,
M12157 8MM (cad.tear pol.tubular dese.sarjado fio aux.8mm),,,02/05/2023,,,PAR,100cm,"1,44",,"1,40",,,,,,,,,,
